level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	4	1	4	7	261	239	37	11	94	lectus
5	1	4	1	4	8	303	240	63	10	94	venenatis
5	1	4	1	4	9	371	239	50	11	95	facilisis.
5	1	4	1	4	10	427	240	36	10	77	Etiam
5	1	4	1	4	11	469	240	49	14	92	suscipit
5	1	4	1	4	12	522	240	63	10	94	venenatis
5	1	4	1	4	13	590	239	58	11	94	faucibus.
5	1	4	1	4	14	655	240	45	14	83	integer
5	1	4	1	4	15	706	239	70	11	96	malesuada
5	1	4	1	4	16	782	240	51	14	96	pretium
5	1	4	1	4	17	839	242	40	12	91	purus.
5	1	4	1	4	18	886	240	11	10	91	In
5	1	4	1	4	19	903	240	26	14	79	quis
4	1	4	1	5	0	28	259	901	15	-1	
5	1	4	1	5	1	28	259	28	11	95	nibh
5	1	4	1	5	2	63	259	61	13	96	tincidunt,
5	1	4	1	5	3	132	262	44	8	96	ornare
5	1	4	1	5	4	183	262	37	12	96	quam
5	1	4	1	5	5	228	260	15	10	96	sit
5	1	4	1	5	6	250	260	36	12	93	amet,
5	1	4	1	5	7	294	259	40	11	57	iaculis
5	1	4	1	5	8	342	260	33	10	92	risus.
5	1	4	1	5	9	383	259	62	11	91	Curabitur
5	1	4	1	5	10	452	259	47	15	91	gravida
5	1	4	1	5	11	508	262	22	8	96	nec
5	1	4	1	5	12	537	262	28	8	91	arcu
5	1	4	1	5	13	573	262	14	8	91	ac
5	1	4	1	5	14	594	262	52	12	96	semper.
5	1	4	1	5	15	655	260	57	10	96	Praesent
5	1	4	1	5	16	719	259	63	13	91	interdum,
5	1	4	1	5	17	790	260	26	10	92	erat
5	1	4	1	5	18	823	259	48	15	67	fringilla
5	1	4	1	5	19	879	259	50	11	79	ultricies
4	1	4	1	6	0	28	279	901	15	-1	
5	1	4	1	6	1	28	280	79	12	96	consectetur,
5	1	4	1	6	2	113	282	40	12	96	augue
5	1	4	1	6	3	158	279	26	11	87	felis
5	1	4	1	6	4	189	279	44	11	96	dictum
5	1	4	1	6	5	239	280	41	14	94	turpis,
5	1	4	1	6	6	285	279	18	11	96	vel
5	1	4	1	6	7	309	280	34	14	96	porta
5	1	4	1	6	8	349	282	36	12	96	quam
5	1	4	1	6	9	391	279	35	11	90	tellus
5	1	4	1	6	10	431	280	11	10	72	in
5	1	4	1	6	11	448	280	42	14	89	ipsum.
5	1	4	1	6	12	497	280	44	10	96	Mauris
5	1	4	1	6	13	546	279	38	11	96	mollis
5	1	4	1	6	14	589	279	66	11	96	commodo
5	1	4	1	6	15	661	282	44	8	94	massa.
5	1	4	1	6	16	711	279	45	11	88	Nullam
5	1	4	1	6	17	762	279	37	11	96	libero
5	1	4	1	6	18	805	279	35	13	94	lacus,
5	1	4	1	6	19	846	279	51	15	94	dapibus
5	1	4	1	6	20	903	280	26	14	85	quis
4	1	4	1	7	0	28	299	207	13	-1	
5	1	4	1	7	1	28	302	42	8	96	cursus
5	1	4	1	7	2	74	299	21	13	96	vel,
5	1	4	1	7	3	99	299	74	11	96	fermentum
5	1	4	1	7	4	177	299	18	11	96	vel
5	1	4	1	7	5	200	302	35	8	93	nunc.
2	1	5	0	0	0	27	334	903	95	-1	
3	1	5	1	0	0	27	334	903	95	-1	
4	1	5	1	1	0	28	334	901	15	-1	
5	1	5	1	1	1	28	334	23	11	96	Sed
5	1	5	1	1	2	58	335	63	10	96	venenatis
5	1	5	1	1	3	130	334	37	11	96	lorem
5	1	5	1	1	4	175	337	15	8	96	eu
5	1	5	1	1	5	198	335	49	14	96	tempor
5	1	5	1	1	6	254	334	94	11	96	condimentum.
5	1	5	1	1	7	357	335	15	10	96	Ut
5	1	5	1	1	8	380	334	45	11	87	laoreet
5	1	5	1	1	9	433	334	32	11	94	lacus
5	1	5	1	1	10	473	335	13	10	96	et
5	1	5	1	1	11	493	334	60	11	77	interdum
5	1	5	1	1	12	562	334	48	11	95	laoreet.
5	1	5	1	1	13	619	335	43	10	96	Mauris
5	1	5	1	1	14	670	335	13	10	96	at
5	1	5	1	1	15	690	334	20	11	95	elit
5	1	5	1	1	16	717	335	13	10	96	at
5	1	5	1	1	17	738	335	40	10	96	metus
5	1	5	1	1	18	786	334	83	15	94	pellentesque
5	1	5	1	1	19	877	335	52	14	96	suscipit.
4	1	5	1	2	0	28	354	901	15	-1	
5	1	5	1	2	1	28	355	65	10	92	Maecenas
5	1	5	1	2	2	97	357	7	8	96	a
5	1	5	1	2	3	110	355	51	14	93	pretium
5	1	5	1	2	4	166	354	22	11	95	elit.
5	1	5	1	2	5	194	355	28	10	87	Duis
5	1	5	1	2	6	227	355	13	10	96	ut
5	1	5	1	2	7	244	355	46	14	95	sagittis
5	1	5	1	2	8	294	354	23	11	94	elit.
5	1	5	1	2	9	321	354	54	15	52	Aliquam
5	1	5	1	2	10	379	355	32	10	96	vitae
5	1	5	1	2	11	416	355	45	10	96	rutrum
5	1	5	1	2	12	465	355	36	14	81	justo,
5	1	5	1	2	13	506	355	28	14	96	eget
5	1	5	1	2	14	539	354	59	11	96	interdum
5	1	5	1	2	15	604	354	31	11	89	nibh.
5	1	5	1	2	16	640	355	26	10	87	Orci
5	1	5	1	2	17	671	355	39	10	87	varlus
5	1	5	1	2	18	715	355	54	14	93	natoque
5	1	5	1	2	19	774	354	64	15	92	penatibus
5	1	5	1	2	20	843	355	13	10	92	et
5	1	5	1	2	21	861	355	45	14	81	magnis
5	1	5	1	2	22	911	354	18	11	71	dis
4	1	5	1	3	0	28	374	901	15	-1	
5	1	5	1	3	1	28	375	66	14	87	parturient
5	1	5	1	3	2	99	375	52	12	92	montes,
5	1	5	1	3	3	157	375	56	10	92	nascetur
5	1	5	1	3	4	218	374	55	11	92	ridiculus
5	1	5	1	3	5	278	377	31	8	95	mus.
5	1	5	1	3	6	315	375	57	10	93	Praesent
5	1	5	1	3	7	377	375	13	10	96	ut
5	1	5	1	3	8	395	375	34	14	96	porta
5	1	5	1	3	9	435	374	32	11	94	nibh.
5	1	5	1	3	10	473	375	28	10	55	Duis
5	1	5	1	3	11	506	375	49	14	96	tempus
5	1	5	1	3	12	560	374	91	11	96	condimentum
5	1	5	1	3	13	656	375	58	14	96	tristique.
5	1	5	1	3	14	720	375	30	10	96	Nam
5	1	5	1	3	15	755	377	16	8	93	eu
5	1	5	1	3	16	777	374	55	15	93	pharetra
5	1	5	1	3	17	838	374	32	11	91	nibh.
5	1	5	1	3	18	875	375	54	14	96	Quisque
4	1	5	1	4	0	28	394	902	15	-1	
5	1	5	1	4	1	28	395	45	14	86	sagittis
5	1	5	1	4	2	79	397	40	12	94	augue
5	1	5	1	4	3	126	394	22	11	96	sed
5	1	5	1	4	4	155	397	40	8	96	massa
5	1	5	1	4	5	202	394	52	15	93	dapibus
5	1	5	1	4	6	260	394	65	15	95	vulputate.
5	1	5	1	4	7	333	395	40	10	96	Donec
5	1	5	1	4	8	380	395	13	10	95	ut
5	1	5	1	4	9	399	395	19	10	95	est
5	1	5	1	4	10	425	395	28	14	95	eget
5	1	5	1	4	11	459	394	19	11	93	elit
5	1	5	1	4	12	485	394	61	11	96	hendrerit
5	1	5	1	4	13	552	395	49	14	95	suscipit
5	1	5	1	4	14	606	394	18	11	96	vel
5	1	5	1	4	15	631	397	7	8	96	a
5	1	5	1	4	16	646	395	18	10	91	mi.
5	1	5	1	4	17	670	394	74	11	95	Vestibulum
5	1	5	1	4	18	750	394	56	15	96	aliquam,
5	1	5	1	4	19	813	394	38	11	96	lorem
5	1	5	1	4	20	857	397	16	8	93	eu
5	1	5	1	4	21	880	394	50	11	91	efficitur
4	1	5	1	5	0	27	414	824	15	-1	
5	1	5	1	5	1	27	414	51	15	96	gravida,
5	1	5	1	5	2	81	415	33	14	71	Justo
5	1	5	1	5	3	119	415	32	10	91	enim
5	1	5	1	5	4	155	414	61	15	95	dignissim
5	1	5	1	5	5	221	417	40	12	95	purus,
5	1	5	1	5	6	266	415	28	14	93	eget
5	1	5	1	5	7	298	417	49	12	93	semper
5	1	5	1	5	8	352	414	18	11	95	leo
5	1	5	1	5	9	375	417	26	8	96	sem
5	1	5	1	5	10	406	414	11	11	88	id
5	1	5	1	5	11	422	415	35	10	96	enim.
5	1	5	1	5	12	462	415	46	14	90	integer
5	1	5	1	5	13	512	417	53	12	96	posuere
5	1	5	1	5	14	570	414	33	15	96	ligula
5	1	5	1	5	15	608	415	12	10	94	et
5	1	5	1	5	16	625	414	30	11	94	nulla
5	1	5	1	5	17	660	417	53	12	95	posuere
5	1	5	1	5	18	716	414	46	15	95	feugiat
5	1	5	1	5	19	766	417	22	8	91	nec
5	1	5	1	5	20	793	417	22	8	96	nec
5	1	5	1	5	21	819	414	32	11	96	odio.
2	1	6	0	0	0	28	449	901	75	-1	
3	1	6	1	0	0	28	449	901	75	-1	
4	1	6	1	1	0	28	449	901	15	-1	
5	1	6	1	1	1	28	449	46	11	96	Nullam
5	1	6	1	1	2	80	450	19	10	96	est
5	1	6	1	1	3	104	450	41	14	93	turpis,
5	1	6	1	1	4	151	449	51	11	81	ultricies
5	1	6	1	1	5	207	452	7	8	88	a
5	1	6	1	1	6	221	449	52	11	82	rhoncus
5	1	6	1	1	7	279	450	30	14	96	eget,
5	1	6	1	1	8	315	449	53	11	93	vehicula
5	1	6	1	1	9	375	449	39	11	43	laculls
5	1	6	1	1	10	420	450	33	10	96	risus.
5	1	6	1	1	11	459	449	73	11	96	Vestibulum
5	1	6	1	1	12	538	449	74	11	95	fermentum
5	1	6	1	1	13	618	450	30	10	96	risus
5	1	6	1	1	14	654	450	13	10	96	at
5	1	6	1	1	15	672	450	19	10	96	est
5	1	6	1	1	16	697	449	38	11	96	luctus
5	1	6	1	1	17	741	450	48	14	93	sagittis.
5	1	6	1	1	18	796	450	33	10	92	Proin
5	1	6	1	1	19	835	450	13	10	96	at
5	1	6	1	1	20	853	450	26	10	96	erat
5	1	6	1	1	21	884	452	7	8	89	a
5	1	6	1	1	22	897	449	32	11	89	diam
4	1	6	1	2	0	28	469	901	15	-1	
5	1	6	1	2	1	28	469	56	15	82	pharetra
5	1	6	1	2	2	88	469	52	11	95	eleifend
5	1	6	1	2	3	145	470	51	14	96	pretium
5	1	6	1	2	4	201	469	11	11	91	id
5	1	6	1	2	5	217	469	40	11	94	libero.
5	1	6	1	2	6	262	470	44	10	94	Mauris
5	1	6	1	2	7	310	470	49	14	96	tempor
5	1	6	1	2	8	363	469	28	11	96	odio
5	1	6	1	2	9	395	470	13	10	96	et
5	1	6	1	2	10	412	470	28	10	96	ante
5	1	6	1	2	11	445	469	50	11	73	ultricies
5	1	6	1	2	12	500	472	50	12	96	congue.
5	1	6	1	2	13	555	469	61	11	95	Phasellus
5	1	6	1	2	14	620	470	27	14	93	quis
5	1	6	1	2	15	651	469	70	11	85	sollicitudin
5	1	6	1	2	16	726	469	24	11	34	nisl.
5	1	6	1	2	17	756	470	29	10	96	Nam
5	1	6	1	2	18	791	472	24	8	96	non
5	1	6	1	2	19	819	469	35	11	96	tellus
5	1	6	1	2	20	859	472	22	8	96	nec
5	1	6	1	2	21	886	472	43	12	95	magna
4	1	6	1	3	0	28	489	901	15	-1	
5	1	6	1	3	1	28	489	50	11	81	ultricies
5	1	6	1	3	2	82	492	65	8	93	accumsan
5	1	6	1	3	3	152	492	14	8	93	ac
5	1	6	1	3	4	170	490	14	10	96	ut
5	1	6	1	3	5	188	492	47	12	90	magna.
5	1	6	1	3	6	240	490	36	10	90	Fusce
5	1	6	1	3	7	280	489	45	11	96	dictum
5	1	6	1	3	8	329	490	20	10	96	est
5	1	6	1	3	9	353	490	13	10	96	ut
5	1	6	1	3	10	369	489	74	11	93	fermentum
5	1	6	1	3	11	447	489	50	11	89	facllisis.
5	1	6	1	3	12	502	489	62	11	91	Curabitur
5	1	6	1	3	13	568	490	68	14	91	consequat
5	1	6	1	3	14	640	490	21	10	89	nisi
5	1	6	1	3	15	666	490	28	14	96	eget
5	1	6	1	3	16	698	490	30	10	96	risus
5	1	6	1	3	17	733	489	91	11	96	condimentum
5	1	6	1	3	18	829	490	62	10	93	maximus.
5	1	6	1	3	19	896	490	33	10	77	Proin
4	1	6	1	4	0	28	509	547	15	-1	
5	1	6	1	4	1	28	510	95	10	96	consectetur
5	1	6	1	4	2	101	501	20	29	92	ex
5	1	6	1	4	3	127	509	58	11	93	tincidunt
5	1	6	1	4	4	189	510	32	10	96	enim
5	1	6	1	4	5	226	512	42	8	96	cursus
5	1	6	1	4	6	271	510	66	10	93	venenatis.
5	1	6	1	4	7	343	509	32	11	96	Nulla
5	1	6	1	4	8	380	510	34	14	96	porta
5	1	6	1	4	9	419	509	46	11	65	facilisis
5	1	6	1	4	10	469	509	26	11	82	felis
5	1	6	1	4	11	500	510	13	10	96	ut
5	1	6	1	4	12	517	509	58	11	94	molestie.
2	1	7	0	0	0	27	544	902	95	-1	
3	1	7	1	0	0	27	544	902	95	-1	
4	1	7	1	1	0	28	544	901	15	-1	
5	1	7	1	1	1	28	544	80	15	93	Suspendisse
5	1	7	1	1	2	113	547	22	8	96	nec
5	1	7	1	1	3	140	544	19	11	95	leo
5	1	7	1	1	4	163	544	41	13	92	mollis,
5	1	7	1	1	5	208	545	44	10	96	viverra
5	1	7	1	1	6	258	544	36	11	95	libero
5	1	7	1	1	7	298	545	30	14	95	quis,
5	1	7	1	1	8	332	544	62	15	96	vulputate
5	1	7	1	1	9	398	545	32	10	96	ante.
5	1	7	1	1	10	435	544	53	15	96	Aliquam
5	1	7	1	1	11	493	545	26	10	96	erat
5	1	7	1	1	12	522	544	57	15	96	volutpat.
5	1	7	1	1	13	585	544	60	11	90	Phasellus
5	1	7	1	1	14	650	544	10	11	87	id
5	1	7	1	1	15	665	544	20	11	95	elit
5	1	7	1	1	16	688	545	13	10	96	at
5	1	7	1	1	17	705	547	30	8	95	urna
5	1	7	1	1	18	740	545	55	14	87	porttitor
5	1	7	1	1	19	799	544	46	11	90	ultrices
5	1	7	1	1	20	850	544	22	11	95	sed
5	1	7	1	1	21	876	547	7	8	95	a
5	1	7	1	1	22	889	544	40	11	96	lectus.
4	1	7	1	2	0	28	564	901	15	-1	
5	1	7	1	2	1	28	565	30	10	93	Nam
5	1	7	1	2	2	64	567	24	8	96	non
5	1	7	1	2	3	93	567	43	8	96	ornare
5	1	7	1	2	4	140	565	36	14	92	justo.
5	1	7	1	2	5	181	565	49	10	90	Aenean
5	1	7	1	2	6	235	565	15	10	96	sit
5	1	7	1	2	7	254	565	34	10	96	amet
5	1	7	1	2	8	293	565	21	10	92	nisi
5	1	7	1	2	9	319	567	43	12	92	augue.
5	1	7	1	2	10	368	565	46	14	93	Integer
5	1	7	1	2	11	418	564	44	11	96	dictum
5	1	7	1	2	12	467	564	54	15	96	volutpat
5	1	7	1	2	13	526	567	28	8	93	eros
5	1	7	1	2	14	559	565	15	10	93	sit
5	1	7	1	2	15	578	565	33	10	96	amet
5	1	7	1	2	16	616	564	55	15	93	placerat.
5	1	7	1	2	17	677	565	36	10	48	Etlam
5	1	7	1	2	18	718	567	53	12	94	posuere
5	1	7	1	2	19	776	564	28	11	93	odio
5	1	7	1	2	20	809	565	28	14	96	eget
5	1	7	1	2	21	842	564	19	11	93	leo
5	1	7	1	2	22	866	564	63	13	92	interdum,
4	1	7	1	3	0	27	584	902	15	-1	
5	1	7	1	3	1	27	585	13	10	95	at
5	1	7	1	3	2	45	584	60	15	91	dignissim
5	1	7	1	3	3	111	587	14	8	96	ex
5	1	7	1	3	4	131	584	41	11	93	luctus.
5	1	7	1	3	5	178	585	33	10	93	Proin
